,facltNm,allar,insrncAt,trsagntNo,bizrno,facltDivNm,mangeDivNm,mgcDiv,manageSttus,hvofBgnde,hvofEnddle,featureNm,induty,lctCl,doNm,sigunguNm,zipcode,addr1,addr2,mapX,mapY,direction,tel,homepage,resveUrl,resveCl,manageNmpr,gnrlSiteCo,autoSiteCo,glampSiteCo,caravSiteCo,indvdlCaravSiteCo,sitedStnc,siteMg1Width,siteMg2Width,siteMg3Width,siteMg1Vrticl,siteMg2Vrticl,siteMg3Vrticl,siteMg1Co,siteMg2Co,siteMg3Co,siteBottomCl1,siteBottomCl2,siteBottomCl3,siteBottomCl4,siteBottomCl5,tooltip,glampInnerFclty,caravInnerFclty,prmisnDe,operPdCl,operDeCl,trlerAcmpnyAt,caravAcmpnyAt,toiletCo,swrmCo,wtrplCo,brazierCl,sbrsCl,sbrsEtc,posblFcltyCl,posblFcltyEtc,clturEventAt,clturEvent,exprnProgrmAt,exprnProgrm,extshrCo,frprvtWrppCo,frprvtSandCo,fireSensorCo,themaEnvrnCl,eqpmnLendCl,animalCmgCl,tourEraCl,firstImageUrl,createdtime,modifiedtime
17,JB 캠핑하우스,0,Y,,,민간,직영,,운영,,,반려견은 일부 사이트만 사용가능 * 반려견 동반 입장 시 사업자에 문의,자동차야영장,,경기도,파주시,10802,경기 파주시 적성면 감악산로 1270-74,,126.9271145,37.9623703,,031-958-9919,jbcamping.com,jbcamping.com,온라인실시간예약,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2021-08-09,,평일+주말,N,N,0,0,0,개별,,,,,N,,N,,0,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/47/thumb/thumb_720_8263yRuUfDmC7pOiN8vm9dpG.jpg,2022-08-01 23:17,2022-10-15 6:30
18,Najost Camp,6600,N,,252-07-00992,민간,직영,,운영,,,감삿갓계곡초입,일반야영장,계곡,강원도,영월군,26246,강원 영월군 김삿갓면 김삿갓로 638,,128.6037991,37.1103264,,033-375-3215,http://blog.naver.com/PostList.nhn?blogId=najost&from=postList&categoryNo=1,,전화,2,0,20,0,0,0,0,12,0,0,9,0,0,20,0,0,0,0,0,20,0,,,,2015-10-07,"봄,여름,가을",평일+주말,Y,N,2,1,3,개별,"전기,무선인터넷,장작판매,온수",,계곡 물놀이,,N,,Y,천체망원경별보기-토요일,20,0,0,0,"여름물놀이,가을단풍명소","릴선,화로대",불가능,,https://gocamping.or.kr/upload/camp/51/thumb/thumb_720_2952bYDfJFLiPEGlblwVSMvP.jpg,2022-08-01 23:17,2022-08-01 23:17
19,THATS CAMPING 횡성자연휴양림야영장,0,Y,,,민간,직영,,운영,,,"미국 서부시대를 그대로 재현해놓은 웨스턴 카페, 110m 길이의 천연 눈썰매장, 여름철 더위를 날려줄 수영장, 오프로드 RC카 써킷 등이 그것이다. 이 밖에 펜션도 함께 운영하고 있다.","일반야영장,글램핑",산,강원도,횡성군,225841,강원도 횡성군 갑천면정포로430번길 113 ,,128.1110517,37.5390902,"횡성자연휴양림야영장(THATS CAMPING)은 강원도 횡성군 갑천면에 자리했다. 영동고속도로 새말IC에서 새말, 안흥 방면으로 20분",033-344-3391,http://www.thatscamping.co.kr,http://www.thatscamping.co.kr,온라인실시간예약,0,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"주변 관광지로는 횡성온턴, 강원참숯찜질방, 웰리힐리파크가 있다. 더덕 코스 요리 전문점인 윤가이가, 한우를 맛볼 수 있는 횡성축협한우프라자 등의 음식점도 있다.","침대,냉장고,난방기구",,2015-05-29,"봄,여름,가을,겨울",평일+주말,N,N,3,2,2,개별,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트.편의점","펜션 23동, 산책로, 등산로, 계곡, 수영장, 웨스턴 카페, RC카 서킷","산책로,강/물놀이","펜션 23동, 산책로, 등산로, 계곡, 수영장, 웨스턴 카페, RC카 서킷",N,,N,,0,0,0,0,"가을단풍명소,걷기길",,불가능,"봄,여름,가을,겨울",https://gocamping.or.kr/upload/camp/56/thumb/thumb_720_64155a7nTBTYjKOPvVqrCwuo.jpg,2022-08-01 23:17,2022-10-15 6:30
20,The Star 오토캠핑장,2020,N,,336-68-00215,민간,직영,,운영,,,"오션뷰, 데크, 깨끗, 쾌적","일반야영장,자동차야영장,카라반","해변,섬,숲",전라남도,여수시,59770,전남 여수시 돌산읍 상하동길 268,,127.7818433,34.7181692,,061-641-1490,http://www.thestarauto.com/,,,2,9,19,0,2,0,3,4,4,0,4,8,0,15,13,0,0,0,28,0,0,,,"침대,TV,에어컨,냉장고,유무선인터넷,난방기구",2018-01-15,"봄,여름,가을,겨울",평일+주말,Y,N,2,2,1,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,"산책로,낚시,해수욕,청소년체험시설",,N,,N,,18,0,0,0,"일출명소,일몰명소,낚시,봄꽃여행,여름물놀이,가을단풍명소,걷기길",화로대,가능,,https://gocamping.or.kr/upload/camp/57/thumb/thumb_720_8045usCSpmaGB9XJvDDXLikG.jpg,2022-08-01 23:17,2022-08-01 23:17
21,VIP레저타운,0,Y,,,민간,직영,,운영,,,,자동차야영장,,강원도,원주시,26357,강원도 원주시 지정면 지정로 1393,,127.7839463,37.389235,,031-774-7771,http://place.map.daum.net/25510848,,전화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2017-07-11,,,N,N,0,0,0,,,,,,N,,N,,0,0,0,0,,,가능,,,2022-08-01 23:17,2022-08-01 23:17
22,VIP오토캠핑장,0,Y,,707-79-53   ,민간,직영,,운영,,,,자동차야영장,"산,계곡",경상남도,밀양시,50418,경남 밀양시 단장면 고례3길 10-11,,128.9267335,35.4972561,,010-3878-2927,http://vip오토캠핑장.kr/,http://vip오토캠핑장.kr/app/reservation_new.php,온라인실시간예약,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,,,,2015-05-26,"봄,여름,가을,겨울",평일+주말,N,N,1,1,2,개별,"전기,트렘폴린",,"계곡 물놀이,농어촌체험시설",,N,,N,,15,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소",,불가능,,https://gocamping.or.kr/upload/camp/60/thumb/thumb_720_0204fdACFBOe3QG3a4CC8EvA.jpg,2022-08-01 23:17,2022-10-15 6:30
23,W글램핑,800,Y,,613-22-71623,민간,직영,,운영,,,,"일반야영장,글램핑",강,경상남도,산청군,666801,경상남도 산청군 산청읍 내리 259-5,,127.8873465,35.3932118,,055-974-3642,http://www.wglamping.com/,http://www.wglamping.com/,전화,0,1,0,14,0,0,5,0,0,0,0,0,0,15,0,0,0,0,15,0,0,,"침대,TV,에어컨,냉장고,유무선인터넷,난방기구",,2016-05-03,"봄,여름,가을,겨울",평일+주말,N,N,2,2,2,개별,"전기,놀이터,운동시설",,"수상레저,어린이놀이시설",,N,,Y,"전기바이크, 카약투어, 낚시투어, 산악바이크투어, 래프팅투어 페인트볼게임, 보드게임, 피자만들기, 붕어빵 만들기, 비어캔치킨 만들기",15,1,0,15,"수상레저,여름물놀이,걷기길",,불가능,,https://gocamping.or.kr/upload/camp/61/thumb/thumb_720_8222j5WKjFDC4IsEb1HM2L8O.jpg,2022-08-01 23:17,2022-10-15 6:30
24,YC글램핑,0,Y,,,민간,직영,,운영,,,,일반야영장,,경기도,연천군,11045,경기 연천군 미산면 청정로 1049,,126.9660207,38.0382263,,010-5097-6446,http://www.ycglamping.com/,http://www.ycglamping.com/,전화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2017-04-10,,,N,N,0,0,0,,"물놀이장,운동시설",,,,N,,N,,0,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/62/thumb/thumb_720_4025MWy2QC7WM50UdibHQnwW.jpg,2022-08-01 23:17,2022-08-01 23:17
25,YELLOW HILL,0,Y,,,민간,직영,,운영,,,,자동차야영장,,강원도,춘천시,24409,강원도 춘천시 동산면 종자리로 224-24,,127.7449681,37.7609521,,033-262-5656,,,현장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2017-12-19,,,N,N,0,0,0,,,,,,N,,N,,0,0,0,0,,,불가능,,,2022-08-01 23:17,2022-08-01 23:17
26,㈜씨스테이 야영장,17000,N,,482-81-10020,민간,직영,,운영,,,,자동차야영장,섬,인천시,옹진군,409871,인천광역시 옹진군 영흥면 내리 1212-52,,126.4683211,37.2801027,,010-9076-3801,,,,0,13,0,0,0,0,0,7,0,0,20,0,0,13,0,0,0,13,0,0,0,,,,2016-02-26,"봄,여름,가을",평일+주말,N,N,2,2,2,개별,"전기,무선인터넷,온수,물놀이장,운동시설",,,,N,,N,,8,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/66/thumb/thumb_720_1047qvq4IF1re0nhT7R1I9cv.jpg,2022-08-01 23:17,2022-10-15 6:30
27,가람관광농원,1500,Y,217-01,303- 2-27030,민간,직영,,운영,,,,일반야영장,"산,숲,호수",경상남도,합천군,50210,경남 합천군 봉산면 인덕로 930,,128.0576,35.5873961,,010-9704-2582,http://cafe.naver.com/hpgeni2016,http://cafe.naver.com/hpgeni2016,,2,0,22,0,0,0,0,6,0,0,7,0,0,22,0,0,0,19,3,0,0,,,,2017-11-14,"봄,여름,가을,겨울",평일+주말,Y,N,1,1,1,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",,수상레저,,N,,Y,밤줍기체험 불루베리체험,7,0,0,0,"수상레저,낚시",,불가능,,https://gocamping.or.kr/upload/camp/69/thumb/thumb_720_1454jkXgwy4yNn8OeOQLzV2d.jpg,2022-08-01 23:17,2022-08-01 23:17
28,가래골농원 캠핑장,45000,N,2017-000003호(가래골 농원),104-06-95913,민간,직영,,운영,,,"조경 의 아름다움 과 벗나무,소나무,연산홍 등 이 있는  멋진 정원.  미니 동물농장 이라고 해도 어색하지 않는 곳(염소,양,공작,오리.토끼.강아지,말 등) 너른 잔디에 아이들이 맘껏 뛰어놀수 있는 곳. 반려견가 들을 위한 그들만의 공간에서 편히 쉴 수 있는 곳. 소나무,알프스는  11~03월 까지 휴장. 개인카라반 구역이 따로있슴(F구역)",일반야영장,"산,숲",경기도,포천시,11134,경기 포천시 창수면 포천로2811번길 178,,127.1592806,37.9938562,,031-533-7410,http://garaegol.com/ws/builder/,,,1,0,0,0,0,0,0,4,5,0,7,8,0,0,0,0,0,0,0,0,0,,,,2016-09-13,"봄,여름,가을,겨울",평일+주말,Y,N,0,0,0,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점",,"산책로,강/물놀이,농어촌체험시설",,N,,Y,"동물먹이주기,승마체험.밤 줍기등",90,0,0,0,"액티비티,여름물놀이,걷기길",릴선,가능,,https://gocamping.or.kr/upload/camp/70/thumb/thumb_720_6059nHMzIyRUDXrZF7zXnrBN.jpg,2022-08-01 23:17,2022-10-15 6:30
